OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
197;Adrien_pe~-8bands-fc-128-NoiseCarrier.wav;Adrien_pe~;1;2
198;Adrien_pe~-12bands-fc-128-NoiseCarrier.wav;Adrien_pe~;2;3
199;Adrien_pe~-16bands-fc-128-NoiseCarrier.wav;Adrien_pe~;3;4
200;Adrien_pe~-22bands-fc-128-NoiseCarrier.wav;Adrien_pe~;4;1
201;Adrien_ti-4bands-fc-128-NoiseCarrier.wav;Adrien_ti;1;3
202;Adrien_ti-8bands-fc-128-NoiseCarrier.wav;Adrien_ti;2;4
203;Adrien_ti-12bands-fc-128-NoiseCarrier.wav;Adrien_ti;3;1
204;Adrien_ti-16bands-fc-128-NoiseCarrier.wav;Adrien_ti;4;2
205;Adrien_ti-22bands-fc-128-NoiseCarrier.wav;Adrien_ti;5;4
206;Adrien_te1-4bands-fc-128-NoiseCarrier.wav;Adrien_te1;2;1
207;Adrien_te1-8bands-fc-128-NoiseCarrier.wav;Adrien_te1;3;2
208;Adrien_te1-12bands-fc-128-NoiseCarrier.wav;Adrien_te1;4;3
209;Adrien_te1-16bands-fc-128-NoiseCarrier.wav;Adrien_te1;5;1
210;Adrien_te1-22bands-fc-128-NoiseCarrier.wav;Adrien_te1;1;2
211;Adrien_ta-4bands-fc-128-NoiseCarrier.wav;Adrien_ta;3;3
212;Adrien_ta-8bands-fc-128-NoiseCarrier.wav;Adrien_ta;4;4
213;Adrien_ta-12bands-fc-128-NoiseCarrier.wav;Adrien_ta;5;2
214;Adrien_ta-16bands-fc-128-NoiseCarrier.wav;Adrien_ta;1;3
215;Adrien_ta-22bands-fc-128-NoiseCarrier.wav;Adrien_ta;2;4
216;Adrien_ty-4bands-fc-128-NoiseCarrier.wav;Adrien_ty;4;1
217;Adrien_ty-8bands-fc-128-NoiseCarrier.wav;Adrien_ty;5;3
218;Adrien_ty-12bands-fc-128-NoiseCarrier.wav;Adrien_ty;1;4
219;Adrien_ty-16bands-fc-128-NoiseCarrier.wav;Adrien_ty;2;1
220;Adrien_ty-22bands-fc-128-NoiseCarrier.wav;Adrien_ty;3;2
221;Adrien_t2-4bands-fc-128-NoiseCarrier.wav;Adrien_t2;5;4
222;Adrien_t2-8bands-fc-128-NoiseCarrier.wav;Adrien_t2;1;1
223;Adrien_t2-12bands-fc-128-NoiseCarrier.wav;Adrien_t2;2;2
224;Adrien_t2-16bands-fc-128-NoiseCarrier.wav;Adrien_t2;3;3
